District,Latitude,Longitude,Area_km2,Population,Literacy_Rate,Forest_Cover_km2,Per_Capita_Income,Unemployment_Rate,Major_Crop
Thiruvananthapuram,8.5241,76.9366,2192,3301427,93.02,477,180000,7.5,Coconut
Kollam,8.8932,76.6141,2492,2635375,94.09,1704,175000,6.9,Cashew
Pathanamthitta,9.2647,76.7872,2652,1195537,96.55,1409,160000,8.2,Rubber
Alappuzha,9.4981,76.3388,1414,2127789,96.26,155,165000,5.5,Paddy
Kottayam,9.5916,76.5222,2208,1979384,97.21,1526,170000,4.8,Rubber
Idukki,9.9188,77.1025,4358,1108974,92.2,2974,155000,10.3,Cardamom
Ernakulam,10.8505,76.2711,3068,3282388,95.89,933,200000,5.2,Banana
Thrissur,10.5276,76.2144,3032,3174745,95.32,1045,185000,6.3,Paddy
Palakkad,10.7867,76.6548,4482,2810892,89.49,1360,150000,8.9,Coconut
Malappuram,11.0519,76.0711,3550,4112920,93.57,837,140000,9.1,Arecanut
Kozhikode,11.2588,75.7804,2345,3089543,96.77,673,195000,4.7,Coconut
Wayanad,11.6854,76.1320,2132,816558,89.03,2132,145000,12.2,Coffee
Kannur,11.8745,75.3704,2966,2525637,96.86,782,190000,6.1,Coconut
Kasaragod,12.5194,75.0290,1992,1302600,90.09,567,160000,7.0,Arecanut
